Iteration;Generation; Max Vehicles; Fitness;  Selection; Crossover; Mutation
0,1,30,653.9534510715424,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,2,30,653.9534510715424,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,3,29,658.8571985796491,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,4,29,661.0599340993012,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,5,27,435.4437155397284,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,6,27,679.5326912465869,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,7,27,651.2158736500866,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,8,27,657.5423848064238,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,9,28,668.0020277730126,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,10,28,673.3517130819432,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,11,27,681.9415114099787,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,12,27,681.9415114099787,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,13,28,668.8939079125607,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,14,28,456.2279556038653,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,15,28,647.2994790084633,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,16,29,671.8058685545946,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,17,26,674.7997575429076,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,18,26,674.7997575429076,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,19,25,649.6451140779877,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,20,25,649.6451140779877,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,21,25,649.6451140779877,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,22,26,672.1440983327135,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,23,26,672.1440983327135,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
0,24,26,672.1440983327135,fps,vrp_xo(cycle_xo),swap_mutation;;;;;;
