Iteration,Generation,Max Vehicles,Fitness,Selection,Crossover,Mutation
0,1,35,32802.429464703164,fps,sequential_constructive_xo,swap_mutation
0,2,26,39933.07350188631,fps,sequential_constructive_xo,swap_mutation
0,3,22,24852.73562994979,fps,sequential_constructive_xo,swap_mutation
0,4,22,24852.42369994002,fps,sequential_constructive_xo,swap_mutation
0,5,21,24035.114105989353,fps,sequential_constructive_xo,swap_mutation
0,6,20,26496.367296152384,fps,sequential_constructive_xo,swap_mutation
0,7,19,41925.5145091861,fps,sequential_constructive_xo,swap_mutation
0,8,19,37502.876338548536,fps,sequential_constructive_xo,swap_mutation
0,9,18,38210.50808642178,fps,sequential_constructive_xo,swap_mutation
0,10,21,37065.87531625576,fps,sequential_constructive_xo,swap_mutation
0,11,21,38605.5967064729,fps,sequential_constructive_xo,swap_mutation
0,12,22,36830.65855696464,fps,sequential_constructive_xo,swap_mutation
0,13,22,36830.65855696464,fps,sequential_constructive_xo,swap_mutation
0,14,23,42006.8366552573,fps,sequential_constructive_xo,swap_mutation
0,15,25,42647.90714904217,fps,sequential_constructive_xo,swap_mutation
0,16,21,30279.192802047906,fps,sequential_constructive_xo,swap_mutation
0,17,17,43815.47610396083,fps,sequential_constructive_xo,swap_mutation
0,18,14,41164.091972240065,fps,sequential_constructive_xo,swap_mutation
0,19,19,42136.683329614934,fps,sequential_constructive_xo,swap_mutation
0,20,19,38207.2765401194,fps,sequential_constructive_xo,swap_mutation
0,21,17,35241.39324105326,fps,sequential_constructive_xo,swap_mutation
0,22,19,35425.660224758576,fps,sequential_constructive_xo,swap_mutation
0,23,19,33938.51099986517,fps,sequential_constructive_xo,swap_mutation
0,24,22,29640.459307210742,fps,sequential_constructive_xo,swap_mutation
0,25,18,38885.02520533518,fps,sequential_constructive_xo,swap_mutation
0,26,21,38877.6749567572,fps,sequential_constructive_xo,swap_mutation
0,27,15,39097.49889057767,fps,sequential_constructive_xo,swap_mutation
0,28,18,41044.78846216931,fps,sequential_constructive_xo,swap_mutation
0,29,20,39270.05886166538,fps,sequential_constructive_xo,swap_mutation
0,30,25,40240.73411827967,fps,sequential_constructive_xo,swap_mutation
0,31,12,33577.3710309123,fps,sequential_constructive_xo,swap_mutation
0,32,21,42367.31606736597,fps,sequential_constructive_xo,swap_mutation
0,33,24,42675.62724193372,fps,sequential_constructive_xo,swap_mutation
